Feature,Importance
Feature_50,0.35054973810124523
Feature_1,0.2828183297076467
Feature_3,0.05613972929633151
Feature_8,0.04098306671656931
Feature_2,0.03830161028562884
Feature_9,0.03284417149940488
Feature_31,0.0238931714923956
Feature_18,0.022125651283540774
Feature_6,0.021426722057040062
Feature_0,0.020644224165617314
Feature_61,0.019050552465792986
Feature_36,0.016664962036654955
Feature_5,0.010107051758744054
Feature_7,0.008777880258740893
Feature_24,0.006535022184279286
Feature_4,0.006025609218174275
Feature_26,0.005461483655099211
Feature_20,0.00501362136731464
Feature_39,0.002321595478960762
Feature_19,0.0021334292836660933
Feature_23,0.0018586782301931405
Feature_33,0.0014610378244536736
Feature_34,0.001324752263457602
Feature_62,0.0012543094783710735
Feature_57,0.001167918305496154
Feature_15,0.0011110097980776643
Feature_48,0.0010637991498668225
Feature_29,0.0009933822743293436
Feature_21,0.000987264596533223
Feature_30,0.0009108675081799137
Feature_63,0.0008828430896210736
Feature_55,0.0008757884588553893
Feature_58,0.0008672137256736731
Feature_49,0.0008652761396407615
Feature_16,0.0007878840409774262
Feature_14,0.0007822678874863309
Feature_12,0.0007484313297280039
Feature_56,0.0007415772084966127
Feature_40,0.0007233297486521017
Feature_13,0.0006824607014680174
Feature_51,0.0006767567253124681
Feature_53,0.0006613468505001119
Feature_17,0.00061712470419147
Feature_60,0.0005785289966311011
Feature_44,0.0005186131971395069
Feature_54,0.0005012514089124715
Feature_52,0.0005001607136603524
Feature_32,0.00047656301896860425
Feature_66,0.0004512546711445046
Feature_65,0.00043333818757054863
Feature_10,0.0004244405878895376
Feature_11,0.0003144300241989932
Feature_22,0.00030101837650820293
Feature_45,0.0002867575527543108
Feature_25,0.00025166064575998846
Feature_41,0.0002156636334406904
Feature_64,0.0001838595420394256
Feature_47,0.00017572792638914024
Feature_46,0.0001573389089924903
Feature_35,9.696917746758196e-05
Feature_42,8.142137600477265e-05
Feature_59,5.982390800340692e-05
Feature_28,4.4524464123768e-05
Feature_27,4.3421207994579916e-05
Feature_38,4.0290121996339384e-05
Feature_43,0.0
Feature_37,0.0
Feature_67,0.0
Feature_68,0.0
