Feature,Importance
Feature_1,1419
Feature_3,246
Feature_2,213
Feature_8,185
Feature_0,150
Feature_5,93
Feature_9,83
Feature_6,76
Feature_50,75
Feature_61,56
Feature_18,51
Feature_20,31
Feature_19,28
Feature_35,25
Feature_23,24
Feature_4,23
Feature_31,22
Feature_24,22
Feature_21,20
Feature_25,19
Feature_40,16
Feature_7,16
Feature_16,13
Feature_39,12
Feature_63,11
Feature_10,10
Feature_33,10
Feature_44,6
Feature_22,6
Feature_57,5
Feature_13,5
Feature_52,5
Feature_56,3
Feature_60,3
Feature_41,3
Feature_30,2
Feature_27,2
Feature_36,2
Feature_15,2
Feature_54,1
Feature_48,1
Feature_58,1
Feature_55,1
Feature_53,1
Feature_28,1
Feature_14,1
Feature_59,0
Feature_62,0
Feature_65,0
Feature_66,0
Feature_67,0
Feature_64,0
Feature_34,0
Feature_51,0
Feature_49,0
Feature_47,0
Feature_46,0
Feature_45,0
Feature_43,0
Feature_42,0
Feature_38,0
Feature_37,0
Feature_32,0
Feature_29,0
Feature_26,0
Feature_17,0
Feature_12,0
Feature_11,0
Feature_68,0
