Feature,Importance
Feature_50,0.7044663
Feature_31,0.047762387
Feature_35,0.035632648
Feature_1,0.03230852
Feature_61,0.023366375
Feature_18,0.016516268
Feature_3,0.014137337
Feature_39,0.011354736
Feature_25,0.010498914
Feature_0,0.0076502943
Feature_9,0.007483485
Feature_19,0.00717881
Feature_33,0.0062559107
Feature_8,0.0058227084
Feature_24,0.0052872347
Feature_2,0.0052032815
Feature_20,0.0051983222
Feature_16,0.0051200506
Feature_44,0.0041279653
Feature_21,0.00402078
Feature_10,0.0037545054
Feature_6,0.0030289425
Feature_63,0.0029997288
Feature_5,0.002952452
Feature_23,0.0026529669
Feature_4,0.0024321727
Feature_52,0.0023105668
Feature_22,0.0019055338
Feature_40,0.0018696281
Feature_41,0.001670907
Feature_27,0.001391066
Feature_14,0.0013386972
Feature_64,0.0010995
Feature_60,0.0010283177
Feature_57,0.0010120993
Feature_54,0.00083133345
Feature_65,0.00080192694
Feature_56,0.00077772775
Feature_7,0.0007303405
Feature_15,0.000699892
Feature_55,0.0006920373
Feature_12,0.00068241626
Feature_13,0.0006358619
Feature_49,0.0006140919
Feature_58,0.0005755521
Feature_51,0.0005345038
Feature_66,0.0005303825
Feature_46,0.0005120359
Feature_48,0.0005118664
Feature_59,2.5564892e-05
Feature_45,5.076763e-06
Feature_67,0.0
Feature_62,0.0
Feature_34,0.0
Feature_53,0.0
Feature_47,0.0
Feature_43,0.0
Feature_42,0.0
Feature_38,0.0
Feature_37,0.0
Feature_36,0.0
Feature_32,0.0
Feature_30,0.0
Feature_29,0.0
Feature_28,0.0
Feature_26,0.0
Feature_17,0.0
Feature_11,0.0
Feature_68,0.0
